prompt,category,max_new_tokens,mode,k,speed_ratio_case,draft_time_scale,verify_time_scale,baseline_time_sec,baseline_tps,baseline_energy_proxy_units,baseline_energy_per_token_proxy,spec_time_sec,spec_tps,acceptance_rate,avg_round_acceptance,rollback_count,baseline_fallback_steps,wasted_draft_tokens,draft_time_sec,verify_time_sec,commit_time_sec,rollback_penalty_sec,pipeline_utilization,accepted_tokens_per_round,draft_time_per_accepted_token,verify_time_per_accepted_token,wasted_draft_per_accepted_token,stall_rounds,backpressure_events,verify_bottleneck_ratio,energy_proxy_units,energy_per_token_proxy,energy_per_accepted_token_proxy,peak_speculative_tokens,peak_estimated_kv_overhead_units,speedup,output_match
Speculative decoding is useful because,explanatory,32,fixed,2,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.9390186250000001,34.07813130437109,0.5897435897435898,0.6,9,0,16,0.3918986182999978,0.37821850200000195,0.0002474579999995896,0.00018558299999593686,0.9997774821787436,1.15,0.01703907036086947,0.01644428269565226,0.6956521739130435,11,19,0.49096040063866253,0.8838857953999957,0.027621431106249865,0.03842981719130416,2,36864.0,0.671057599097142,True
Speculative decoding is useful because,explanatory,32,adaptive_only,2,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7350384170000002,43.53513947013193,0.6052631578947368,0.6333333333333333,9,0,15,0.31057392870000244,0.2906876230000002,0.00022887400000115576,9.133599999877617e-05,0.9998599459003448,1.5333333333333334,0.013503214291304454,0.012638592304347834,0.6521739130434783,10,7,0.4832788862128655,0.6886598578000018,0.021520620556250057,0.029941732947826167,3,55296.0,0.8572825167041568,True
Speculative decoding is useful because,explanatory,32,hybrid_only,2,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.656405916999999,48.750322279620846,0.6,0.6,2,24,4,0.06859317499999787,0.5574040829999962,0.0004617929999923831,3.608299999946496e-05,0.9999479242881444,0.20689655172413793,0.011432195833332978,0.09290068049999937,0.6666666666666666,2,29,0.8897693825482111,0.7934428913999892,0.024795090356249664,0.1322404818999982,2,36864.0,0.9599785249955335,True
Speculative decoding is useful because,explanatory,32,category_only,2,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8935046670000002,35.814026699426286,0.4339622641509434,0.4642857142857143,9,0,30,0.43279503750000015,0.2746006230000013,0.00017554199999381126,0.00011674899999292165,0.9998429747418647,1.6428571428571428,0.018817175543478268,0.011939157521739187,1.3043478260869565,10,1,0.3880890319303281,0.7899744880999916,0.024686702753124738,0.03434671687391268,4,73728.0,0.70524039467608,True
Speculative decoding is useful because,explanatory,32,hybrid_category,2,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6804805830000014,47.02558867869994,0.4117647058823529,0.4375,3,22,10,0.11820089190000188,0.5107149159999995,0.0004213750000019445,3.0457999997679508e-05,0.9999532609451313,0.2692307692307692,0.016885841700000268,0.07295927371428565,1.4285714285714286,3,22,0.8115123814019869,0.7823323364999994,0.024447885515624983,0.11176176235714277,5,92160.0,0.9260155245311361,True
Speculative decoding is useful because,explanatory,32,fixed,3,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7469717920000001,42.83963643971177,0.5609756097560976,0.5714285714285714,9,0,18,0.333598417600002,0.26978437500000396,0.0002139980000013253,8.175099999796487e-05,0.9998743789317117,1.6428571428571428,0.014504279026087042,0.01172975543478278,0.782608695652174,9,1,0.4469612483058831,0.6844936304000054,0.02139042595000017,0.02976059262608719,3,55296.0,0.8435868539464199,True
Speculative decoding is useful because,explanatory,32,adaptive_only,3,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7581497500000012,42.20802024929765,0.575,0.6055555555555556,9,0,17,0.3274822222000024,0.28961716800000126,0.00023912600000208784,9.800100000312284e-05,0.9998540300953961,1.5333333333333334,0.014238357486956626,0.01259205078260875,0.7391304347826086,9,6,0.46913834209264027,0.7041879921000083,0.022005874753125258,0.03061686922173949,4,73728.0,0.8311492340398432,True
Speculative decoding is useful because,explanatory,32,hybrid_only,3,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6269187919999997,51.04329365835953,0.5833333333333334,0.5833333333333334,3,22,5,0.08249838309999936,0.5081619999999969,0.00043195900000192466,1.9082999997976913e-05,0.9999695488325665,0.2692307692307692,0.01178548329999991,0.07259457142857098,0.7142857142857143,3,22,0.8596998536550631,0.7433027579999938,0.023228211187499806,0.1061861082857134,3,55296.0,1.005131114334183,True
Speculative decoding is useful because,explanatory,32,category_only,3,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8923071670000002,35.86209007777698,0.4339622641509434,0.4642857142857143,9,0,30,0.43231961989999806,0.27407770599999814,0.00017883099999771446,0.0001190839999978266,0.9998399211609175,1.6428571428571428,0.018796505213043394,0.01191642199999992,1.3043478260869565,10,1,0.38789549197708073,0.7888231624999924,0.024650723828124763,0.034296659239130105,4,73728.0,0.7061868460818935,True
Speculative decoding is useful because,explanatory,32,hybrid_category,3,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6798915829999999,47.066327632416076,0.4117647058823529,0.4375,3,22,10,0.1186542301000001,0.5094791659999984,0.00042283499999484775,2.8332999999491904e-05,0.9999564497073508,0.2692307692307692,0.016950604300000015,0.07278273799999978,1.4285714285714286,3,22,0.8105546342423393,0.7811774461999955,0.02441179519374986,0.11159677802857079,5,92160.0,0.9268177452933694,True
